"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://bluegrassdoodle.com/custom.css","text/html; charset=iso-8859-1","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","315","315","315","0.112","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.268","","","","","","1.1","","https://bluegrassdoodle.com/custom.css","2024-10-13 00:54:49"
"https://bluegrassdoodle.com/assets/js/jquery.min.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","30677","30677","30677","10.875","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.289","Wed, 31 Jul 2024 23:00:40 GMT","","","","","1.1","","https://bluegrassdoodle.com/assets/js/jquery.min.js","2024-10-13 00:54:49"
"https://bluegrassdoodle.com/cockapoof1bb.html","text/html","200","OK","Indexable","","Bluegrass Doodle | Mini-Cockapoo Puppies for sale in London, Kentucky","69","634","Find Cockapoo puppies for sale. Located in London, Kentucky.  Buy perfect Pups from reputable Breeder’s.","104","654","Cockapoo in London, KY, Cockapoo Puppies, Cockapoo Dogs and Puppies for sale, Cockapoo Pups, Cockapoo, Cockapoo Puppies For Sale, Cockerspaniel, Cocker Spaniel, Doodles kentucky, Poodle, AKC, Cockapoo Dogs London Kentucky, Bluegrass, Kentucky Doodles, Cockapoo puppies near me","276","Bluegrass Doodles","17","","0","","0","","0","","","","","","","","","","11862","3130","3130","1.110","","54","30","1.800","79.675","Fairly Easy","4.716","1","0","","18","12","0","48.000","18","11","0","4","4","0","","","","","6699aa81aac941ce23a06d51b55f5d40","0.286","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/cockapoof1bb.html","2024-10-13 00:54:50"
"https://bluegrassdoodle.com/assets/js/util.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","3240","3240","3240","1.149","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.318","Wed, 31 Jul 2024 23:00:40 GMT","","","","","1.1","","https://bluegrassdoodle.com/assets/js/util.js","2024-10-13 00:54:50"
"https://bluegrassdoodle.com/assets/js/main.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","586","586","586","0.208","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.325","Wed, 31 Jul 2024 23:00:40 GMT","","","","","1.1","","https://bluegrassdoodle.com/assets/js/main.js","2024-10-13 00:54:50"
"https://bluegrassdoodle.com/images/females/sophie/cockapoolitters/IMG-9832.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","206008","206008","206008","73.031","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.291","Wed, 31 Jul 2024 23:00:43 GMT","","","","","1.1","","https://bluegrassdoodle.com/images/females/sophie/cockapoolitters/IMG-9832.jpg","2024-10-13 00:54:50"
"http://www.bluegrassdoodle.com/privacy.html","text/html","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","90802","11447","11447","4.058","","3498","494","7.081","57.124","Fairly Hard","24.519","1","0","","28","5","0","20.000","25","2","0","7","6","0","","","","","d1b1a34d2239c4dc10e64fe564397e6b","0.198","Wed, 31 Jul 2024 23:00:45 GMT","","","","","1.1","","http://www.bluegrassdoodle.com/privacy.html","2024-10-13 00:54:50"
"https://bluegrassdoodle.com/images/females/bella/spring%2022/IMG_0184.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","513709","513709","513709","182.112","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.294","Wed, 31 Jul 2024 23:00:41 GMT","","","","","1.1","","https://bluegrassdoodle.com/images/females/bella/spring%2022/IMG_0184.jpg","2024-10-13 00:54:50"
"https://bluegrassdoodle.com/images/females/sophie/cockapoolitters/IMG-7044.jpg","text/html; charset=iso-8859-1","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","315","315","315","0.112","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.278","","","","","","1.1","","https://bluegrassdoodle.com/images/females/sophie/cockapoolitters/IMG-7044.jpg","2024-10-13 00:54:51"
"https://bluegrassdoodle.com/images/females/sophie/cockapoolitters/IMG_0191.jpg","text/html; charset=iso-8859-1","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","315","315","315","0.112","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.261","","","","","","1.1","","https://bluegrassdoodle.com/images/females/sophie/cockapoolitters/IMG_0191.jpg","2024-10-13 00:54:51"
